,0
347,Hot-blooded Protagonist
348,Human Experimentation
349,Human Weapon
350,Human-Nonhuman Relationship
351,Humanoid Protagonist
352,Hunters
353,Hypnotism
354,Identity Crisis
355,Imaginary Friend
356,Immortals
357,Imperial Harem
358,Incest
359,Incubus
360,Indecisive Protagonist
361,Industrialization
362,Inferiority Complex
363,Inheritance
364,Inscriptions
365,Insects
366,Interconnected Storylines
367,Interdimensional Travel
368,Introverted Protagonist
369,Investigations
370,Invisibility
371,Jack of All Trades
372,Jealousy
373,Jiangshi
374,Jobless Class
375,JSDF
376,Kidnappings
377,Kind Love Interests
378,Kingdom Building
379,Kingdoms
380,Knights
381,Kuudere
382,Lack of Common Sense
383,Language Barrier
384,Late Romance
385,Lawyers
386,Lazy Protagonist
387,Leadership
388,Legends
389,Level System
390,Library
391,Limited Lifespan
392,Living Abroad
393,Living Alone
394,Loli
395,Loneliness
396,Loner Protagonist
397,Long Separations
398,Long-distance Relationship
399,Lost Civilizations
400,Lottery
401,Love at First Sight
402,Love Interest Falls in Love First
403,Love Rivals
404,Love Triangles
405,Lovers Reunited
406,Low-key Protagonist
407,Loyal Subordinates
408,Lucky Protagonist
409,Magic
410,Magic Beasts
411,Magic Formations
412,Magical Girls
413,Magical Space
414,Magical Technology
415,Maids
416,Male Protagonist
417,Male to Female
418,Male Yandere
419,Management
420,Mangaka
421,Manipulative Characters
422,Manly Gay Couple
423,Marriage
424,Marriage of Convenience
425,Martial Spirits
426,Masochistic Characters
427,Master-Disciple Relationship
428,Master-Servant Relationship
429,Masturbation
430,Matriarchy
431,Mature Protagonist
432,Medical Knowledge
433,Medieval
434,Mercenaries
435,Merchants
436,Military
437,Mind Break
438,Mind Control
439,Misandry
440,Mismatched Couple
441,Misunderstandings
442,MMORPG
443,Mob Protagonist
444,Models
445,Modern Day
446,Modern Knowledge
447,Money Grubber
448,Monster Girls
449,Monster Society
450,Monster Tamer
451,Monsters
452,Movies
453,Mpreg
454,Multiple Identities
455,Multiple Personalities
456,Multiple POV
457,Multiple Protagonists
458,Multiple Realms
459,Multiple Reincarnated Individuals
460,Multiple Timelines
461,Multiple Transported Individuals
462,Murders
463,Music
464,Mutated Creatures
465,Mutations
466,Mute Character
467,Mysterious Family Background
468,Mysterious Illness
469,Mysterious Past
470,Mystery Solving
471,Mythical Beasts
472,Mythology
473,Naive Protagonist
474,Narcissistic Protagonist
475,Nationalism
476,Near-Death Experience
477,Necromancer
478,Neet
479,Netorare
480,Netorase
481,Netori
482,Nightmares
483,Ninjas
484,Nobles
485,Non-humanoid Protagonist
486,Non-linear Storytelling
487,Nudity
488,Nurses
489,Obsessive Love
490,Office Romance
491,Older Love Interests
492,Omegaverse
493,Oneshot
494,Online Romance
495,Onmyouji
496,Orcs
497,Organized Crime
498,Orgy
499,Orphans
500,Otaku
501,Otome Game
502,Outcasts
503,Outdoor Intercourse
504,Outer Space
505,Overpowered Protagonist
506,Overprotective Siblings
507,Pacifist Protagonist
508,Paizuri
509,Parallel Worlds
510,Parasites
511,Parent Complex
512,Parody
513,Part-Time Job
514,Past Plays a Big Role
515,Past Trauma
516,Persistent Love Interests
517,Personality Changes
518,Perverted Protagonist
519,Pets
520,Pharmacist
521,Philosophical
522,Phobias
523,Phoenixes
524,Photography
